IngresoMensual,HorasSemanales,NumTrabajadores,AñosEstudio
 , , ,11
15,4,1,8
986,22,2,13
 , , ,13
 , , ,14
 , , ,17
 , , ,5
 , , ,10
1300,72,3000,14
 , ,2,11
686,18,3,13
1501,44,9998,22
 , ,3,13
 , ,3,11
3050,70,4,21
800,51,4,16
500,20,1,26
300,18,1,16
3200,48,15,24
2300,54,300,21
2377,78,3,13
1750,40,220,19
550,30,1,17
 , , ,5
8000,59,300,27
 , , ,23
3300,30,9998,23
9000,40,5000,21
3500,40,1500,21
4000,40,5000,22
1800,44,10,20
4000,44,1200,16
800,6,1,13
100,2,1,14
7091,48,80,25
2500,40,9998,17
2500,48,30,19
600,38,1,20
 , , ,22
500,26,1,17
2500,40,20,20
 , , ,22
3000,40,1,22
10000,48,600,22
 , , ,19
 , , ,8
1500,40,1,16
 , , ,9
1257,45,1,3
1150,48,1000,14
 , , ,10
 , , ,9
 , , ,9
 , , ,9
 , , ,22
 , , ,20
 , , ,10
 , , ,19
2500,48,1,16
 , , ,16
5750,35,500,22
 , , ,23
 , , ,21
4800,22,1,17
4000,27,3,23
 , , ,17
 , , ,17
 , , ,14
1025,48,300,16
2773,70,2,17
630,12,4,13
673,18,3,14
 , , ,22
 , , ,19
7000,15,1,20
7500,35,9998,21
1300,30,9998,18
 , , ,21
12500,40,1400,23
570,38,1,22
 , , ,15
15000,16,4,17
 , , ,14
 , , ,16
 , , ,16
 , , ,23
4825,50,300,27
3500,40,10,16
5000,40,500,22
 , , ,21
 , , ,14
 , , ,14
 , , ,16
10442,77,2000,26
 , , ,10
800,48,1,13
800,28,1,14
800,21,10,15
1112,70,1,5
 , , ,14
634,11,1,13
 ,56,2,10
 , , ,22
1800,40,250,19
3700,42,1,20
3100,53,1,22
2000,40,8,22
3000,25,10,23
1700,60,1,20
5000,40,1000,21
 , , ,13
 , , ,14
7500,44,501,27
3500,40,1000,26
120,3,1,21
2500,40,600,23
 , , ,10
 , , ,8
1050,54,2,16
1100,42,1,13
 , , ,10
1000,30,1,14
 , , ,13
2180,93,4,17
 , , ,14
512,24,300,21
 , , ,23
 , , ,11
1000,20,1,15
4000,40,5000,20
2500,50,8000,18
238,24,200,15
1200,35,2,16
1200,36,690,16
625,6,1,14
1430,79,3,15
1860,55,4,17
1200,84,2,14
2392,58,25,17
 , , ,14
550,24,8,22
1500,75,2,19
1025,40,101,19
 , , ,10
 , , ,17
5000,40,1000,22
 , , ,20
 , , ,18
 , , ,16
2500,30,100,21
21906,40,120,21
 , , ,13
6000,40,800,25
13000,40,8000,20
 , , ,23
4000,45,1,19
 , , ,13
 , , ,13
1800,40,40,16
 , , ,18
1800,40,15,21
 , , ,13
800,29,1,17
 , , ,22
3000,45,520,20
2000,44,150,13
1200,40,4,13
1070,12,1,20
 , , ,13
2000,44,2,21
1300,50,20,16
 , , ,21
3470,40,1,22
 , , ,13
3800,68,1,20
4000,40,200,23
 , , ,21
 , , ,9
3200,40,12,13
 , , ,22
 , , ,14
 , , ,13
4000,40,9998,22
 , , ,20
 , , ,20
1200,54,15,10
 , , ,13
8000,60,2,24
 , , ,13
 , , ,13
1025,14,4,20
3500,25,1000,23
2000,40,1000,19
 , , ,17
1200,48,100,13
 , , ,14
 , , ,11
800,30,40,11
1025,60,4,14
 , , ,13
315,24,1,15
1200,48,500,17
 , , ,10
1025,40,50,17
1320,42,20,17
2000,42,45,20
3650,45,120,19
 , , ,13
 , , ,10
 , , ,13
1818,45,1,14
1680,62,1,21
2190,54,70,21
4000,45,350,20
3000,40,600,21
2000,40,9998,24
1400,40,150,21
 , , ,13
1050,63,2,16
1600,48,40,17
3000,40,600,22
5000,48,550,21
 ,18,2,18
1200,48,135,13
 , , ,11
 , , ,0
1060,48,3,18
3633,82, ,16
 , , ,17
1800,48,35,14
1200,40,1,11
207,4,1,11
 , , ,10
346,10,4,13
 , , ,14
 ,30,1000,24
1025,32,15,18
 , , ,18
2275,65,2,17
1689,43,2,19
4200,40,1000,26
 , , ,22
1300,58,2,13
2800,49,200,17
1200,48,80,19
1200,48,1000,16
1025,45,1000,16
 , , ,14
251,12,4,14
 , , ,13
 , , ,14
1790,53,1,13
3000,40,500,22
 , , ,10
 , , ,0
 , , ,9
2500,24,1,18
 , , ,19
700,42,16,20
1125,48,2000,14
150,5,1,18
8000,40,2000,23
 , , ,22
3500,30,25,16
1715,28,1,14
2000,45,1000,20
2500,40,70,21
 , ,2,20
 , , ,22
2500,30,9998,16
5000,44,1000,23
5000,44,1000,21
7000,44,9998,24
 , , ,23
15500,54,9800,21
12500,57,9888,28
 , , ,19
 , , ,19
 , , ,10
5000,40,60,16
 , , ,23
3300,34,15,19
 , , ,21
 , , ,22
 , , ,14
2000,40,3,24
5000,50,1000,20
70,6,1,14
 , , ,13
2500,36,998,22
 , , ,9
 , , ,23
6000,64,9998,23
 , , ,22
 , , ,17
 , , ,17
5000,40,3,23
5000,40,998,19
 , , ,20
1500,12,1,21
846,15,50,14
1800,54,2000,16
1700,48,800,17
930,14,1,17
1530,54,20,14
520,24,1500,17
 , , ,20
1400,14,1,15
2000,50,10,24
 , , ,14
2428,62,2,14
 , , ,24
5000,40,998,23
 , , ,20
2450,64,1,17
7000,45,6,22
 , , ,22
4000,42,7,13
15300,60,7,22
 , , ,19
 , , ,13
1950,30,1,22
2000,59,4,16
5000,53,1000,24
4902,52,3,16
2901,51,2,16
127,34,1,23
1050,72,1000,19
5750,51,1,25
5500,15,2,20
4000,20,1,23
2458,51,1,10
 , , ,16
4500,40,998,21
 , , ,13
5000,40,1500,20
 , , ,18
4800,24,1,22
5000,16,1,19
 , , ,21
5000,15,1,23
1050,54,1,16
8000,51,160,16
 , , ,22
5000,40,998,21
18000,33,700,20
1750,10,1,21
 , , ,16
5300,40,2000,13
 , , ,21
 , , ,21
15000,58,9998,19
1200,7,2,23
35,2,1,21
 , , ,13
12000,40,9888,23
 , , ,23
 , , ,11
4000,44,9,16
12500,45,9888,26
12117,44,600,19
1300,27,1,22
 , , ,16
 , , ,19
 , , ,16
 , , ,9
1270,56,1,20
1200,55,30,17
1299,20,1,13
1600,32,1,11
 , , ,5
2400,30,9998,24
1204,25,1,11
1100,54,2,16
 , , ,16
 , , ,19
2500,40,40,24
400,4,1,20
 , , ,10
3500,36,1000,23
 , , ,20
 , , ,21
 , , ,13
3000,40,50,21
 , , ,10
 , , ,15
5000,40,15,20
3500,40,15,16
1825,72,1,11
2500,32,6,16
11200,50,18,17
 , , ,20
 , , ,14
 , , ,1
 , , ,23
 , , ,22
7340,40,15,23
1025,30,1,22
4500,48,4000,17
2270,76,1,13
 , , ,22
 , , ,20
4450,48,9998,21
 , , ,21
 , , ,24
8000,40,9998,26
 ,27,2,21
5000,40,50,27
493,63,2,17
4000,40,1,19
 , , ,10
 , , ,19
11500,40,400,20
 , , ,19
 , , ,17
 , , ,23
7000,54,4,20
 ,36,4,17
 , , ,10
4000,30,2,18
2000,46,1,16
3500,40,500,21
 , , ,13
9000,43,5,21
4000,40,150,17
 , , ,25
2600,30,100,19
 , , ,11
 , , ,13
 , , ,13
3000,48,60,20
2817,56,9998,22
3460,40, ,17
 , , ,21
 , , ,15
 , , ,21
5500,72,7,19
1600,59,5,19
400,26,5,17
1512,66,1,14
1800,57,5,23
 , , ,10
690,48,1,11
1819,45,5,13
1299,44,3,13
600,24,3,14
800,48,3,16
1700,40,50,22
1083,37,2,22
1400,72,1,19
1500,72,1000,13
1200,56,12,14
3500,7,15,17
1200,72,60,14
 , , ,22
4000,40,2000,23
6000,40,10,20
3500,40,30,22
9000,40,40,20
4000,55,9998,17
 , , ,14
200,3,500,15
2100,40,1,16
3500,48,2000,13
2190,40,9998,14
3303,42,9998,17
4691,48,9998,20
2500,40,9998,13
767,24,60,22
1039,42,1,20
4500,48,1000,23
 , , ,17
6500,48,9998,23
 , , ,22
 , , ,19
2500,40,400,13
200,18,1,14
2000,45,90,19
108,2,1,22
 , , ,20
1200,43,1000,22
3000,40,1000,20
4000,35,1000,22
3500,36,9998,23
590,14,1,14
1500,40,5000,21
 , , ,9
1100,25,1,14
 , , ,14
1540,32,4,22
270,9,1,14
400,9,4,17
500,35,1,13
547,11,1,13
 , , ,11
520,36,2,10
1039,72,2,10
1213,60,3,13
1083,54,2,13
650,24,2,6
2490,48,1,13
 , , ,21
4000,40,150,23
4000,40,60,24
 , , ,16
3303,64,490,19
2500,45,23,19
 , , ,16
 , , ,18
4049,55,1,10
4800,66,1,16
1280,30,40,17
900,30,5,18
 , , ,14
 , , ,10
2300,40,100,17
1899,56,11,20
6250,70,2,13
 ,77,2,15
550,24,80,20
1025,40,5,16
 , , ,11
 ,45,2,14
2330,45,2,15
1588,84,1,19
 , , ,21
 , , ,0
866,24,4,10
1280,48,40,9
2377,60,3,9
 , ,3,18
 , ,3,18
2234,30,1,15
 , , ,15
4000,40,200,16
1161,35,2,13
 , , ,10
3000,56,1000,13
 , , ,15
4000,40,12,21
 , , ,18
 , , ,20
866,8,1,13
500,15,1,14
 , , ,13
2825,48,8,17
 , , ,1
 , , ,13
 , , ,24
 , , ,21
17500,30,300,27
 , , ,17
703,60,1000,23
 , , ,19
2200,45,30,16
3630,48,1,15
700,15,3,14
2219,49,2,8
 , , ,9
3350,46,5000,22
1400,48,3,16
1000,12,2,16
4410,53,7,14
 , , ,6
1000,56,1,0
1300,42,1,13
 , , ,10
1600,45,10,16
700,24,30,13
1158,68,1,24
636,27,1,10
2327,52,2,14
 , , ,13
1039,24,10,21
717,15,2,13
1438,89,1,6
1805,99,2,11
1732,48,5,13
1104,48,8,14
3100,30,9988,19
4969,48,9998,23
2493,46, ,17
1500,48,50,17
2600,45,150,14
1600,45,200,16
552,24,15,14
1500,72,1,14
4063,66,15,13
1789,50,2,13
1500,51,1000,13
1299,39,10,16
 , , ,13
2649,74,13,11
3366,66,22,13
 , , ,14
 , , ,18
483,16,1,9
2409,66,10,9
2954,35,2,18
1800,64,1,22
400,12,1,10
 , , ,8
2565,44,2,13
2960,39,6,14
1500,56,1000,13
3150,57,9998,17
 , , ,21
1472,48,2,14
2598,45,4,14
 , , ,17
3681,48,200,13
3031,45,5,14
1300,49,4,13
 , , ,8
3248,45,50,10
173,30,9998,14
1155,48,100,13
 , , ,22
 , , ,10
1005,48,3,13
29,5,2,6
765,33,100,17
1460,45,5,16
1200,48,600,16
1590,48,1,17
 , , ,13
2252,51,30,13
2320,55,1,10
667,20,10,13
 , , ,14
2400,64,1,10
303,8,7,13
2000,48,3000,20
 , , ,11
1500,40,9998,21
 , , ,17
4098,94,15,13
 ,42,4,14
2000,42,4,14
2500,48,15,20
 ,34,4,22
 , ,4,17
 , , ,0
3000,36,9998,21
 , , ,1
1900,28,4,13
 , , ,18
1083,36,4,13
1299,48,5,13
 , , ,13
2000,30,1,21
100,10,1,14
 , , ,13
929,21,2,13
 , , ,14
680,9,2,19
3583,50,3,6
 ,63,3,13
1800,49,1,16
1265,66,3,16
 , , ,15
1600,48,400,17
 , , ,14
 , , ,21
390,56,1,20
1130,62,1,15
 , , ,2
1010,40,2,14
 , ,2,14
5000,40,200,18
1500,41,6,16
 , , ,13
 , , ,17
2400,45,20,14
 , , ,11
1472,66,1,16
415,6,2,14
1110,35,1,19
1980,77,1,21
1500,54,1,14
433,10,2,13
2600,48,15,15
1200,48,3,17
 , , ,16
3000,45,500,20
1500,24,1,13
1940,23,1,16
 , , ,10
 , , ,11
138,11,1,13
1400,50,9998,13
1025,48,50,13
1039,24,6,13
 , , ,10
 , , ,15
 , , ,18
 , , ,10
1700,55,9998,20
1321,66,2,15
483,36,4,10
 , , ,17
5000,40,25,24
1200,45,9998,16
650,48,10,14
2804,60,3,14
 , , ,21
4690,48,520,14
 , , ,16
3191,45,4,6
1500,30,1,8
3031,48,3,13
2994,50,2,11
 , , ,13
 , , ,14
1400,72,10,13
1678,35,2,11
953,39,2,13
2300,62,2,14
1300,40,4,11
1970,20,1,13
1200,24,2,14
512,16,998,16
 , , ,10
5000,46,6,16
 , , ,14
550,48,1,13
 , , ,9
 , , ,14
2500,70,1,16
1650,56,1,0
500,30,9998,13
1299,45,3,14
931,25,5,16
3000,45,15,13
1740,72,1,13
2600,30,1000,24
1500,72,1000,15
 , , ,14
 , , ,13
 , , ,11
1900,54,2,10
 , , ,14
3100,98,5,16
3000,40,600,21
 , , ,19
 , , ,18
 , , ,11
 , , ,15
725,16,1,10
2400,40,9998,20
1800,48,998,20
 , , ,6
 , , ,15
2925,40,998,16
2598,45,500,14
520,7,2,13
1500,45,500,20
 , , ,8
 , , ,8
1699,40,5,16
984,70,2,11
 , , ,13
2400,46,600,17
1050,30,15,14
217,8,5,14
 , , ,11
1500,40,30,16
142,32,2,14
433,28,2,13
10000,45,4,16
1500,45,5,16
 , , ,13
 , , ,14
 , , ,8
2165,45,4,10
 , , ,13
3000,45,9998,16
1200,20,1,16
1200,49,500,13
 , , ,13
1978,82,2,15
1500,60,1,10
1200,56,998,13
 , , ,5
 , , ,13
866,60,3,13
866,35,3,13
2308,84,25,17
 , , ,13
 , , ,14
1750,68,3,17
 , , ,14
1599,66,6,15
 ,70,2,8
2701,77,2,9
2058,65,1,18
4500,40,20,22
9650,56,1000,22
800,54,1,5
933,20,1,5
 , , ,1
 , , ,6
1025,35,3,16
1500,48,1000,13
1800,48,120,16
589,16,1,13
909,24,3,13
1100,40,1,20
1630,24,1,10
1249,9,1,22
1800,50,22,14
104,10,1,10
1160,55,10,16
15,3,1,13
 , , ,17
800,45,1,14
1060,96,2,16
3238,63,6,11
670,26,1,15
 , , ,10
1650,55,1,10
3065,72,2,10
 , , ,11
 , , ,13
3000,71,1,14
1600,52,1,16
1219,46,1,14
 , , ,16
 , , ,1
 , , ,14
 , , ,10
1558,60,1,16
1500,48,17,15
325,12,10,16
 , , ,10
 , , ,8
 , , ,14
 , , ,13
1025,48,9998,16
2194,70,2,8
 , , ,8
 ,24,2,13
1573,44,20,21
 , , ,5
 , , ,5
2250,48,15,13
1025,62,30,16
1655,60,2,14
1200,63,1,13
1210,48,7,13
 , , ,10
3217,40, ,17
1860,18,1,10
1640,48,1,20
2600,30,998,20
4100,60,998,24
 , , ,19
 , , ,6
966,28,1,10
242,8,1,13
1800,46,600,15
1700,46,3,14
1299,60,3,14
 , ,3,10
1550,50,1,13
1802,45,1,14
 ,44,2,15
 , , ,8
 , , ,11
433,6,2,16
2250,60,4,16
 , , ,14
608,70,2,5
1299,45,4,15
1732,46,5,11
 , , ,11
5520,68,1,21
 , , ,13
3660,40,300,20
 , , ,19
 , , ,14
 , , ,13
2730,40,3,14
1722,48,1,13
 , , ,13
 , , ,13
1500,40,25,17
 , , ,13
1500,48,998,13
 , , ,18
260,16,4,14
3500,40,1,14
1299,36,1,5
55,3,1,14
1500,60,1,11
2185,57,35,16
 , , ,11
3900,48,5,23
1204,46,1,13
 , , ,11
165,6,1,9
 , , ,8
1500,40,2000,14
 , , ,9
1025,48,2000,16
1025,48,40,14
 , , ,6
353,9,1,14
1039,44,5,20
1500,48,65,16
 , , ,1
 , , ,1
2546,78,2,14
 , , ,5
650,48,2,16
250,13,1,11
 , , ,17
2815,45,6,13
3200,48,9998,18
 , , ,10
230,12,1,18
 , , ,13
 , , ,5
1200,55,3000,14
 , , ,13
1195,3,1,20
 , , ,14
8000,40,28,24
5500,44,25,26
 , , ,11
 , , ,9
 , , ,5
3949,40,28,28
1000,40,28,19
 , , ,20
2000,72,32,24
3800,52,1,16
700,35,60,22
11000,30,9998,23
2900,34,20,24
6400,40,9998,24
 , , ,19
 , , ,20
7500,54,1000,25
5000,40,35,24
5200,43,9998,23
3200,46,7,20
 , , ,15
 , , ,17
1700,45,20,16
1300,45,1500,14
1800,45,80,15
1342,70,2,11
1600,48,11,14
1025,40,9,15
1700,46,60,13
2400,76,6,17
1509,48,2,17
3000,19,5999,25
 , , ,16
8000,49,25,24
 , , ,17
 , , ,16
4500,40,9998,22
1500,40,1000,22
1086,22,3,20
1500,58,1,9
 , , ,11
1387,72,1,16
 , , ,15
 ,63,2,13
 , , ,8
2419,85,15,13
1500,40,200,21
 , , ,13
734,48,5,14
1200,36,150,16
608,70,4,14
 ,48,4,13
158,62,2,13
 ,42,2,13
200,14,3,8
 , , ,15
 , , ,8
 , , ,14
 , , ,15
2673,44,50,21
1200,45,520,21
 , , ,16
303,4,1,16
 , , ,18
100,14,1,9
 , , ,13
 , , ,14
 , , ,10
1025,48,40,14
 , , ,11
2500,40,600,21
1800,30,1000,20
1519,54,1,10
1025,45,5000,8
 , , ,14
1708,48,800,14
1500,48,5000,16
 , , ,10
1468,78,1,11
953,48,2,13
120,10,1,10
 , , ,19
 , , ,13
 , , ,18
1200,66,10,10
 , , ,1
1732,48,3,11
 , , ,11
433,24,2,5
1516,54,3,11
1200,55,6000,13
2050,55,1000,17
1200,66,17,14
 , , ,14
953,48,3,14
 , , ,0
260,42,1,14
 , ,4,11
2300,48,10,14
 , , ,13
2370,54,4,14
1770,54,4,14
20,8,1,13
1812,50,7,9
 , , ,13
2392,48,3,6
300,48,1,6
272,63,1,6
1479,58,4,14
1039,42,2,6
 , , ,14
1239,24,1,10
2199,48,5,13
1500,48,20,15
 , , ,11
1800,48,400,14
 , , ,15
 , , ,10
1800,24,9998,20
410,45,1,9
3360,40, ,17
1732,54,8,14
1345,88,101,17
 , , ,14
2900,68,2,11
 , , ,16
 , , ,14
 , , ,13
 , , ,22
2560,48,80,16
420,16,1,17
500,37,1,13
1259,48,1000,14
 , , ,14
1717,65,500,11
918,48,1,11
1603,70,1500,13
1105,90,1,13
500,30,9998,14
 , , ,11
2165,48,5,15
1060,75,2,16
866,77,35,15
 ,16,2,10
 , , ,9
1400,84,1,13
1400,66,40,13
1900,70,1,14
 , , ,10
2460,58,6,16
1620,24,1,13
346,7,1,8
 , , ,9
 , , ,10
100,48,1,8
81,8,2,11
2580,71,1000,21
 , ,2,10
1200,78,1,22
 , , ,23
1997,85,3,20
4670,70,1000,14
200,40,1,21
 , ,3,10
2199,38,26,13
 , , ,15
2650,25,9998,20
 , , ,18
 , , ,11
 , , ,11
 , , ,13
300,18,1,17
 , , ,15
 , , ,11
 , , ,8
2860,56,14,16
900,25,20,19
3900,65,1000,22
 ,24,2,14
1025,48,50,13
 , , ,14
1550,66,1500,13
2000,48,20,14
1800,72,30,11
 , , ,10
 , , ,19
1300,72,1,13
 , , ,5
 , , ,11
1015,30,1,14
190,56,2,14
 , , ,14
 , , ,10
 , , ,14
700,55,1,14
 , , ,20
 , , ,14
 , , ,11
1500,48,2,17
 , , ,15
 , , ,21
 , , ,14
433,16,1,5
650,28,1,14
3137,70,1,0
1516,53,10,13
 , , ,14
 , , ,14
132,42,2,9
98,18,2,14
210,30,2,6
 , ,4,10
734,45,4,14
533,40,1,11
3050,40, ,16
680,39,1,13
3464,50,270,13
 , , ,1
 , , ,13
2165,45,4,13
2078,51,2,9
 , , ,16
 , , ,10
 , , ,17
1549,53,2,13
 , ,2,10
494,28,2,13
1055,67,500,14
 , , ,14
8000,33,9998,20
5000,35,9998,19
 , , ,22
1390,42,1,14
1730,66,120,22
 , , ,21
 ,49,3,22
 , , ,21
 , , ,21
130,4,1,19
 ,24,2,14
316,32,2,9
1169,42,4,17
1125,48,500,16
 , , ,14
2032,40,1,14
 , , ,5
 , , ,22
1800,45,3,24
1200,45,4,13
2900,51,20,20
 , , ,10
1025,25,6,16
2200,35,4000,14
455,28,2,13
 , , ,14
 ,24,2,17
640,32,2,14
2500,56,1,14
1394,66,1,16
 , , ,10
1199,48,1,13
1213,32,2,13
1025,44,250,10
 , , ,13
1800,48,60,15
1460,48,1,11
1200,48,12,16
3462,48, ,17
585,6,13,13
570,6,1,21
2500,30,9998,16
420,61,1,8
260,10,4,6
1170,48,1,14
900,96,5,11
1470,80,2,13
 ,80,2,14
 , , ,13
 , , ,11
1516,77,6,14
 , , ,15
1083,30,3,13
1732,44,5,11
1190,65,2,10
 ,37,2,10
1500,51,1,13
2400,45,200,13
 , , ,10
1600,60,2,13
 ,24,2,16
560,28,2,11
866,9,5,9
760,8,4,21
 , , ,9
693,48,6,13
 , , ,10
1500,81,2,9
 ,83,2,14
1158,30,1,5
867,15,4,8
 , , ,10
1500,45,1,14
594,21,1,14
2854,94,1,10
 , , ,8
1126,57,4,11
4600,40,2,17
 , , ,20
1415,54,1,16
 , , ,14
1500,24,9998,10
1429,41,3,13
 , , ,13
2967,40,1,16
1300,40,3,14
1025,40,25,8
 , , ,10
779,9,7,16
 , , ,18
4005,48,22,23
1334,60,1,14
1250,40,1,16
 , , ,22
 , , ,6
 , , ,0
3600,70,2,17
 ,30,2,19
 , , ,20
3000,58,2,14
 ,36,2,16
 , , ,19
 , , ,14
3660,60,2,14
 ,30,2,13
3353,60,8,14
4000,48,9998,22
 , , ,5
1180,40,9998,10
 , , ,13
 , , ,11
1200,68,1,14
1025,40,5,15
 , , ,14
1900,48,500,16
3600,45,20,25
2742,40,2,21
 , , ,10
2300,84,1,11
1400,16,1,14
 , , ,16
 , , ,16
1400,46,28,13
4750,48,40,21
2400,40,9998,20
3400,45,70,11
 , , ,5
3897,45,5,14
1299,20,18,20
1766,73,100,8
 , ,2,16
1346,48,4,13
 , , ,15
 , , ,1
1219,63,1,13
 , , ,10
1240,60,8,14
 , , ,10
 , , ,11
1732,48,4,13
240,21,1000,13
3000,48,2,11
1000,48,9998,6
1386,46,6,14
 , , ,13
1100,65,3,13
 , ,3,14
2165,66,6,14
 , , ,14
 , , ,14
2762,37,3,13
1130,76,2,8
 , ,2,13
1550,68,4000,13
110,2,2,6
243,13,1,14
 , , ,11
1200,40,9998,14
1025,48,300,17
215,9,1,21
2500,40,5000,23
669,22,1,14
 , , ,10
3000,48, ,14
 , , ,16
 , ,2,13
1900,57,2,10
 , , ,11
1252,34,1,11
1025,48,95,13
 , , ,14
500,25,9998,13
628,50,1,14
779,18,2,11
 , , ,22
950,54,5,16
468,8,1,8
1322,56,1,13
 , , ,10
217,6,1,6
 , , ,10
1285,60,30,13
607,18,3,11
 , , ,9
1025,48,20,14
 , , ,14
1175,45,84,13
1000,61,8,9
567,32,2,2
30,15,5,8
987,24,4,13
 , , ,17
1550,84,1,13
 , , ,11
1250,56,2,8
 , ,2,11
8000,60,8,14
 , , ,11
173,8,6,13
 , ,8,14
 , ,8,11
1180,48,2,14
560,60,1,13
3122,77,2,13
2338,54,5,14
404,24,1,5
 , , ,14
3816,60,1,18
3000,40,40,20
 , , ,20
 , , ,10
960,9,1,13
1385,36,2,14
481,17,1,11
90,14,1,8
 , , ,10
1222,70,1,5
 , , ,13
108,7,2,11
 , , ,10
1076,46,1,16
585,24,4,5
 , , ,18
 , , ,13
208,12,3,11
3031,46,10,14
 , , ,14
2598,46,3,8
 , , ,14
 , , ,13
 , , ,6
 , , ,11
826,52,2,16
1005,34,2,11
 ,46,2,21
3480,60,2,17
 , , ,20
2899,54,4,14
5000,30,9998,21
 , , ,23
1000,40,10,19
 , , ,18
9200,84,9998,24
4000,40,998,19
 , , ,14
 , , ,13
953,48,2,15
 , , ,13
305,5,1,15
2600,59,100,9
173,10,1,18
2000,48,500,15
 , , ,16
 , , ,10
176,66,1,8
 , , ,21
1025,60,150,14
 , , ,13
60,16,1,14
2253,74,5,13
1200,58,1,15
1125,48,1,13
1570,50,1,20
767,21,1,15
3900,53,9998,21
 , , ,13
1720,60,1,13
1100,45,10,22
1299,54,6,17
 , , ,23
1299,66,130,14
 , , ,9
 , , ,0
 , , ,5
650,12,2,14
900,60,1,13
 , , ,13
 , , ,14
1850,44,2,11
1180,48,1,9
 , , ,10
 , , ,1
3031,56,2,8
300,48,1,6
 , , ,8
1800,36,2000,22
520,12,6,14
1770,40,300,19
 , , ,14
 , , ,10
772,50,1,14
1299,51,8,14
 , , ,15
 , , ,15
909,24,4,14
1500,60,3,13
1240,54,100,14
 , , ,10
450,11,1,17
 , , ,6
 , , ,8
 , , ,6
1400,66,1,14
 , , ,16
 , , ,14
1500,44,5,17
1000,49,1,13
 , , ,14
1490,49,3,14
1299,54,5,16
1567,45,2,14
1275,36,100,16
 , , ,18
 , , ,10
1600,72,1000,14
 , , ,16
1000,12,2,16
300,11,1,14
213,11,2,9
1200,48,3,17
 , , ,11
450,33,1,9
 , , ,16
 , , ,19
 , , ,21
880,40,1,9
1584,58,1,11
2200,66,200,13
138,62,1,15
 , , ,16
2495,70,3,8
 , , ,9
2465,48,4,16
1058,40,4,14
369,53,4,11
83,7,3,14
 , , ,10
1200,45,40,17
 , , ,14
1446,28,1,10
 , , ,16
 , , ,11
 , , ,13
 , , ,13
 , , ,10
 , , ,10
 , , ,14
2944,48,3,14
184,10,1,17
 , , ,8
1850,51,50,17
250,53,1,20
1200,56,1200,22
1200,48,100,13
 , , ,11
1840,50,3,11
1600,51,40,14
 , ,3,11
 , , ,10
 , , ,17
1299,48,10,17
372,32,6,11
590,31,1000,10
1819,48,15,11
270,28,1,5
1200,66,700,14
760,14,1,9
800,16,6,17
 , , ,11
2090,48,8,9
 , , ,13
 , , ,13
 , , ,17
 , , ,10
1230,48,60,14
 , , ,8
1200,60,5,14
 , , ,14
 , , ,11
 , , ,15
 , , ,16
2000,70,2,10
3800,48,9998,16
 , ,2,14
 , , ,8
1600,42,5,22
 , , ,0
 ,48,3,14
1850,36,3,13
750,30,1,22
2165,66,3,10
2300,48,1,19
750,18,1,16
500,48,1,13
 , , ,13
 , , ,14
2599,72,4,10
1620,50,1000,13
 , , ,14
1000,31,3,15
3500,71,4,13
1836,84,2,14
1010,64,4,10
801,42,1,13
 ,16,4,10
1299,45,10,21
1126,54,2,5
 , , ,14
1560,48,600,15
1720,78,250,14
2664,49,1500,14
 , , ,14
1500,36,9000,14
3331,45,5,11
1025,48,1000,13
189,70,2,5
 , , ,11
 , , ,13
 , , ,13
 , , ,11
1663,56,3,18
1500,40,15,17
1940,90,30,13
 , , ,16
2460,46,34,14
1550,55,9998,15
 , ,2,14
 , , ,5
1965,60,1,20
3500,70, ,16
 , , ,14
 , , ,22
2250,84,4,13
 , , ,14
 , , ,9
 , , ,17
 , , ,17
1360,57,5000,16
 , , ,14
 , , ,13
3000,48,1,20
1800,48,800,13
 , , ,13
2950,51, ,16
1166,40,2,17
1200,60,50,15
 , , ,10
800,30,1,14
1800,51,3,8
1950,60,4,9
 , , ,16
1100,48,200,17
 , , ,10
3366,94,1,14
170,35,2,2
386,42,1,0
2300,44,5,17
350,28,1,6
1887,35,1,11
2000,66,500,11
1350,21,20,11
 , , ,13
1748,14,2,13
 ,42,2,14
1519,60,250,15
100,5,1,6
1979,78,5,20
1979,66,600,14
173,42,2,10
2120,50,1,10
443,24,1,13
1500,50,20,9
780,14,2,14
 , , ,14
 , , ,11
1025,48,25,20
3180,90,1,13
121,3,11,14
1083,50,18,16
 , , ,1
2100,44,20,16
115,8,2,13
 , , ,10
2728,98,100,14
2514,62,8,11
2500,88,1,10
693,60,30,14
 , , ,10
527,36,1,13
1000,78,1,14
550,63,1,14
1200,48,1,16
860,42,1,6
400,35,10,15
 , , ,13
728,32,4,10
 , , ,5
2250,60,2,14
1900,76,500,11
300,6,13,14
40,42,1,1
2116,42,23,8
 , , ,9
1899,42,30,6
 , , ,16
1190,48,65,16
1039,33,2,10
 , , ,11
1500,78,30,13
1538,50,3,11
 , , ,10
1025,55,300,13
3619,74,4,13
1545,48,400,13
1475,40,1,9
 , , ,13
996,22,1,13
1298,50,40,13
2150,42,3,14
 , ,3,11
 , , ,11
390,13,3,8
900,12,1,16
 , , ,11
1054,70,1,16
1025,48,70,15
 , , ,16
3184,32,4,13
917,34,1,16
2700,69,1,13
451,8,1,16
2165,48,2,13
 , , ,14
 , , ,10
200,14,1,8
 , , ,13
 ,56,3,14
1066,50,3,13
